Date,Open,High,Low,Close,Adj Close,Volume
2014-09-05,74800.000000,75900.000000,74600.000000,75100.000000,75100.000000,29406
2014-09-11,76700.000000,79200.000000,75800.000000,76500.000000,76500.000000,92512
2014-09-12,76000.000000,76500.000000,74900.000000,75100.000000,75100.000000,41958
2014-09-15,75500.000000,76600.000000,74600.000000,74700.000000,74700.000000,34763
2014-09-16,73600.000000,75000.000000,73600.000000,74000.000000,74000.000000,47016
2014-09-17,74900.000000,75500.000000,73900.000000,74500.000000,74500.000000,33903
2014-09-18,74200.000000,77200.000000,74200.000000,74400.000000,74400.000000,67297
2014-09-19,74500.000000,75500.000000,74000.000000,75500.000000,75500.000000,30972
2014-09-22,76300.000000,76400.000000,75200.000000,75400.000000,75400.000000,39225
2014-09-23,75400.000000,77500.000000,75400.000000,76500.000000,76500.000000,84217
2014-09-24,76600.000000,77300.000000,76100.000000,76700.000000,76700.000000,46499
2014-09-25,77300.000000,77500.000000,70200.000000,71000.000000,71000.000000,185269
2014-09-26,70100.000000,71200.000000,65300.000000,67900.000000,67900.000000,135095
2014-09-29,67900.000000,69200.000000,64400.000000,65000.000000,65000.000000,76082
2014-09-30,65100.000000,68100.000000,64500.000000,65500.000000,65500.000000,63702
2014-10-01,65800.000000,67000.000000,64900.000000,65300.000000,65300.000000,41272
2014-10-02,66000.000000,66700.000000,65100.000000,65900.000000,65900.000000,27080
2014-10-06,65300.000000,66500.000000,61400.000000,61600.000000,61600.000000,74367
2014-10-07,61500.000000,62800.000000,60700.000000,60900.000000,60900.000000,36612
2014-10-08,60100.000000,63300.000000,60100.000000,62300.000000,62300.000000,49044
2014-10-10,61400.000000,62300.000000,61200.000000,61600.000000,61600.000000,24971
2014-10-13,60900.000000,61400.000000,59000.000000,59200.000000,59200.000000,43157
2014-10-14,58400.000000,61300.000000,58200.000000,60800.000000,60800.000000,33782
2014-10-15,60800.000000,66500.000000,60800.000000,63900.000000,63900.000000,40898
2014-10-16,63900.000000,65200.000000,62200.000000,62200.000000,62200.000000,37929
2014-10-17,63100.000000,63500.000000,62200.000000,63100.000000,63100.000000,24409
2014-10-20,62800.000000,65900.000000,62800.000000,63900.000000,63900.000000,33079
2014-10-21,64000.000000,64300.000000,62800.000000,62800.000000,62800.000000,19142
2014-10-22,63500.000000,64100.000000,62800.000000,63400.000000,63400.000000,29291
2014-10-23,63400.000000,64600.000000,63400.000000,63800.000000,63800.000000,21484
2014-10-24,64100.000000,67700.000000,63900.000000,67600.000000,67600.000000,93371
2014-10-27,68200.000000,72000.000000,67300.000000,71500.000000,71500.000000,150132
2014-10-28,71800.000000,71800.000000,69700.000000,70500.000000,70500.000000,41645
2014-10-29,70300.000000,73800.000000,69900.000000,71500.000000,71500.000000,66658
2014-10-30,72000.000000,74300.000000,71500.000000,73300.000000,73300.000000,75406
2014-10-31,74600.000000,75500.000000,72200.000000,72200.000000,72200.000000,64590
2014-11-03,74900.000000,75600.000000,73500.000000,74000.000000,74000.000000,64025
2014-11-04,74900.000000,74900.000000,73000.000000,73400.000000,73400.000000,48444
2014-11-05,73300.000000,74000.000000,70100.000000,70600.000000,70600.000000,61262
2014-11-06,70200.000000,71800.000000,68100.000000,70800.000000,70800.000000,42996
2014-11-07,71900.000000,72500.000000,70800.000000,71800.000000,71800.000000,35997
2014-11-10,72300.000000,72800.000000,71000.000000,71400.000000,71400.000000,29776
2014-11-11,71800.000000,73000.000000,69500.000000,73000.000000,73000.000000,56598
2014-11-12,74000.000000,78000.000000,73600.000000,74900.000000,74900.000000,126014
2014-11-13,77300.000000,77500.000000,74900.000000,76800.000000,76800.000000,132003
2014-11-14,77900.000000,78500.000000,65600.000000,66400.000000,66400.000000,238071
2014-11-17,65500.000000,67100.000000,63000.000000,63000.000000,63000.000000,139640
2014-11-18,61400.000000,66700.000000,61400.000000,63900.000000,63900.000000,99843
2014-11-19,63700.000000,64000.000000,62000.000000,62100.000000,62100.000000,60301
2014-11-20,61600.000000,62900.000000,60000.000000,60100.000000,60100.000000,63784
2014-11-21,61100.000000,61900.000000,60400.000000,61400.000000,61400.000000,35947
2014-11-24,61600.000000,62300.000000,60600.000000,61200.000000,61200.000000,45799
2014-11-25,61600.000000,61700.000000,60600.000000,61400.000000,61400.000000,28475
2014-11-26,61100.000000,62800.000000,61000.000000,62000.000000,62000.000000,29106
2014-11-27,62400.000000,65000.000000,62400.000000,63000.000000,63000.000000,54596
2014-11-28,63100.000000,63500.000000,60800.000000,60900.000000,60900.000000,36343
2014-12-01,60200.000000,60900.000000,58000.000000,60200.000000,60200.000000,36819
2014-12-02,59500.000000,61000.000000,59500.000000,60200.000000,60200.000000,16583
2014-12-03,59800.000000,60700.000000,59800.000000,60300.000000,60300.000000,12449
2014-12-04,60100.000000,60900.000000,60000.000000,60300.000000,60300.000000,17282
2014-12-05,60300.000000,61200.000000,60200.000000,60400.000000,60400.000000,12980
2014-12-08,60100.000000,60700.000000,59000.000000,59300.000000,59300.000000,19078
2014-12-09,60000.000000,60000.000000,55500.000000,55500.000000,55500.000000,53405
2014-12-10,55100.000000,56000.000000,54200.000000,55200.000000,55200.000000,23434
2014-12-11,54600.000000,56500.000000,54600.000000,56000.000000,56000.000000,17906
2014-12-12,55300.000000,56900.000000,55100.000000,56400.000000,56400.000000,13373
2014-12-15,55700.000000,56100.000000,54300.000000,55400.000000,55400.000000,18170
2014-12-16,55600.000000,55600.000000,52700.000000,53000.000000,53000.000000,36927
2014-12-17,52500.000000,54400.000000,52500.000000,53700.000000,53700.000000,19836
2014-12-18,53600.000000,54300.000000,50200.000000,51300.000000,51300.000000,45640
2014-12-19,51300.000000,52900.000000,51200.000000,51300.000000,51300.000000,18839
2014-12-22,51300.000000,52300.000000,51100.000000,51200.000000,51200.000000,21219
2014-12-23,51200.000000,52400.000000,51000.000000,51900.000000,51900.000000,21941
2014-12-24,52400.000000,52400.000000,51000.000000,51500.000000,51500.000000,24666
2014-12-26,51900.000000,52100.000000,51200.000000,51800.000000,51800.000000,13183
2014-12-29,51800.000000,52800.000000,50700.000000,51800.000000,51800.000000,19541
2014-12-30,51800.000000,52400.000000,50700.000000,51200.000000,51200.000000,11982
