"","text","Freq"
"310","발열",1
"311","방광",1
"312","방광(bladder)",1
"313","방법",5
"314","방향",1
"315","배뇨통(dysuria)이",1
"316","배변",1
"317","배설물",1
"318","배우",1
"319","배출",2
"320","배타적",1
"321","백내장",1
"322","뱃속",2
"323","벌레",1
"324","벌목",1
"325","범죄자",1
"326","베이비",1
"327","벨즈",1
"328","벼룩",1
"329","변태",1
"330","변화",2
"331","병리",1
"332","병사",1
"333","보통",1
"334","복용",8
"335","복통",1
"336","본인",1
"337","부분",2
"338","부분림프사상충증사상충",1
"339","부전",1
"340","부화",1
"341","부흥",1
"342","북한",1
"343","북한군",2
"344","북한이다",1
"345","분비",1
"346","분화",1
"347","불가능",1
"348","불과",1
"349","불량",1
"350","브라운",1
"351","블레이드",1
"352","블로그에서",1
"353","비교",1
"354","비료",1
"355","비슷",1
"356","비아",2
"357","비유",1
"358","비일비재",1
"359","비정상",2
"360","비조선계/북한",1
"361","비타민",1
"362","빈대",2
"363","빈혈(anemia)",1
"364","빨아먹는다.",1
"365","빼앗아먹는다는",1
"366","뻐꾸기",1
"367","사가",1
"368","사건",1
"369","사념에일리언(에일리언",1
"370","사람",14
"371","사례",3
"372","사료",1
"373","사망",4
"374","사명",1
"375","사상",3
"376","사상충증",1
"377","사소",1
"378","사실",3
"379","사용",3
"380","사육",3
"381","사이즈",1
"382","사출체킬라킬",1
"383","사항",1
"384","사회",1
"385","산란",3
"386","살모사[]",1
"387","상당",1
"388","상대",1
"389","상상",1
"390","상술",1
"391","상식",1
"392","상종",1
"393","상처",3
"394","상피증[]",1
"395","새삼",1
"396","샘플",6
"397","생각",1
"398","생명섬유패컬티",1
"399","생물",5
"400","생물(숙주)",1
"401","생보",1
"402","생선",2
"403","생성",1
"404","생식",5
"405","생식기",1
"406","생태",3
"407","생태계",2
"408","생활",2
"409","생활환경",1
"410","서구",2
"411","서민",1
"412","서민(교수)",1
"413","서울",1
"414","선충류",1
"415","설사",3
"416","섬유",2
"417","섭취",1
"418","성장",1
"419","성향",2
"420","세균",1
"421","세일러",1
"422","세포",1
"423","소고기",1
"424","소등쪼기가",2
"425","소등쪼기와",1
"426","소변",1
"427","소설",1
"428","소아",1
"429","소울",2
"430","소장",2
"431","속살이게아귀(어류)뻐꾸기소등쪼기",1
"432","손톱",1
"433","솔리드",1
"434","쇼크",1
"435","수단",1
"436","수성설사(watery",2
"437","수술",1
"438","수십",1
"439","수준",2
"440","수출",1
"441","숙주",15
"442","술회",1
"443","스파이크모게코",1
"444","스페이스",1
"445","스포일러[]소울",1
"446","스포츠",1
"447","시각",1
"448","시간",2
"449","시도",2
"450","시리즈",9
"451","시리즈&파워레인저",1
"452","시리즈백수전대",1
"453","시사",1
"454","시안",1
"455","시절",1
"456","시절(년경)에도",1
"457","시중",1
"458","식물",1
"459","식재료들을",1
"460","식후통(postprandial",1
"461","신[]유희왕",1
"462","실명",6
"463","실시",1
"464","실제",2
"465","실태",1
"466","심각",3
"467","심비오트[]",1
"468","심비오트슬레이어즈",1
"469","십이지장충(Ancylostoma",1
"470","아마담[]가면라이더",1
"471","아메리카구충(Necator",1
"472","아메바",1
"473","아바레인저",1
"474","아사라캄,[]",1
"475","아이러니하게도",1
"476","아카데미아",1
"477","아프리카",2
"478","아프리카나",2
"479","안구",1
"480","안들면",1
"481","안심",2
"482","안전",1
"483","안전지대",1
"484","안좋은",1
"485","안주",1
"486","알(eggs)을",2
"487","알레르기",1
"488","알벤다졸",1
"489","압도",1
"490","애벌레",3
"491","애벌레(larvae)가",1
"492","애초",3
"493","앤드루",1
"494","야지훈련",1
"495","약국",2
"496","양반",1
"497","양분",1
"498","억압",1
"499","억제",1
"500","엉겨붙어",1
"501","에반게리온",1
"502","에피소드",1
"503","엑시구아진드기집먼지진드기작은소참진드기모낭충응애속살이",1
"504","엣지슈퍼전대",1
"505","엣지스타크래프트",1
"506","여러",1
"507","여러분",1
"508","여왕",1
"509","여왕[]",1
"510","역설",1
"511","연가",1
"512","연가시용자왕",1
"513","연구",2
"514","연구자",1
"515","연극",1
"516","연동운동",1
"517","연령",1
"518","연재",3
"519","열원충(말라리아)와포자충(Cryptosporidium",1
"520","염증",1
"521","영석",1
"522","영양",1
"523","영양부족",1
"524","영양분",3
"525","영양실조",1
"526","영양체(trophozoite)를",2
"527","영원",1
"528","영향",2
"529","예시",3
"530","옛날",1
"531","오랫동안",1
"532","오버",1
"533","오염",4
"534","온몸",1
"535","와일드포스",1
"536","완치하게",1
"537","완화",6
"538","외국",1
"539","외국인",1
"540","외부",3
